Instance,QualityGap,SimToOpt,SimToOther
tai20a,-100.0001,0.1000,0.0566
tai20a,-100.0001,0.0500,0.0687
tai20a,-100.0001,0.1000,0.0490
tai20a,-100.0001,0.0000,0.0556
tai20a,-100.0001,0.0500,0.0490
tai20a,-100.0001,0.0000,0.0652
tai20a,-100.0001,0.0000,0.0631
tai20a,-100.0001,0.0500,0.0591
tai20a,-100.0001,0.0500,0.0652
tai20a,-100.0001,0.1500,0.0601
tai20a,-100.0001,0.0500,0.0667
tai20a,-100.0001,0.1000,0.0505
tai20a,-100.0001,0.0500,0.0581
tai20a,-100.0001,0.0000,0.0551
tai20a,-100.0001,0.1000,0.0480
tai20a,-100.0001,0.2000,0.0596
tai20a,-100.0001,0.0500,0.0540
tai20a,-100.0001,0.0000,0.0429
tai20a,-100.0001,0.1000,0.0576
tai20a,-100.0001,0.1000,0.0631
tai20a,-100.0001,0.0500,0.0571
tai20a,-100.0001,0.0000,0.0470
tai20a,-100.0001,0.0500,0.0677
tai20a,-100.0001,0.1000,0.0525
tai20a,-100.0001,0.0000,0.0616
tai20a,-100.0001,0.0500,0.0520
tai20a,-100.0001,0.0500,0.0576
tai20a,-100.0001,0.1000,0.0525
tai20a,-100.0001,0.1500,0.0657
tai20a,-100.0001,0.1000,0.0621
tai20a,-100.0001,0.0000,0.0566
tai20a,-100.0001,0.1000,0.0657
tai20a,-100.0001,0.1000,0.0449
tai20a,-100.0001,0.0000,0.0591
tai20a,-100.0001,0.0500,0.0581
tai20a,-100.0001,0.0500,0.0495
tai20a,-100.0001,0.0000,0.0641
tai20a,-100.0001,0.0000,0.0616
tai20a,-100.0001,0.0000,0.0414
tai20a,-100.0001,0.1000,0.0545
tai20a,-100.0001,0.0500,0.0505
tai20a,-100.0001,0.1000,0.0652
tai20a,-100.0001,0.0000,0.0535
tai20a,-100.0001,0.0000,0.0535
tai20a,-100.0001,0.2000,0.0520
tai20a,-100.0001,0.3000,0.0626
tai20a,-100.0001,0.0500,0.0646
tai20a,-100.0001,0.0000,0.0591
tai20a,-100.0001,0.0500,0.0576
tai20a,-100.0001,0.0000,0.0551
tai20a,-100.0001,0.1000,0.0646
tai20a,-100.0001,0.0000,0.0773
tai20a,-100.0001,0.1000,0.0424
tai20a,-100.0001,0.0500,0.0606
tai20a,-100.0001,0.1500,0.0692
tai20a,-100.0001,0.0000,0.0444
tai20a,-100.0001,0.0000,0.0490
tai20a,-100.0001,0.0500,0.0545
tai20a,-100.0001,0.0500,0.0475
tai20a,-100.0001,0.2000,0.0581
tai20a,-100.0001,0.1000,0.0399
